選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
廣岡　大志,118,453,402,43,102,15,1,7,140,34,9,7,39,0,90,9,0.254,0.317,0.348,8,4,オリックス,2025,29
太田　椋,113,496,448,42,127,10,0,10,167,52,0,2,33,5,102,12,0.283,0.337,0.373,6,4,オリックス,2025,25
横山　聖哉,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,オリックス,2025,21
ディアス,50,138,127,6,29,4,0,2,39,6,0,0,11,0,31,5,0.228,0.29,0.307,0,0,オリックス,2025,26
大里　昂生,46,101,85,12,19,0,2,0,23,7,4,2,11,0,15,0,0.224,0.309,0.271,4,1,オリックス,2025,27
中川　圭太,119,463,433,54,123,26,1,12,187,53,10,2,20,1,49,9,0.284,0.314,0.432,5,4,オリックス,2025,30
渡部　遼人,51,14,10,9,2,0,0,0,2,0,2,0,2,1,4,0,0.2,0.385,0.2,1,0,オリックス,2025,27
西川　龍馬,96,412,387,29,120,23,1,5,160,40,4,1,18,2,60,5,0.31,0.343,0.413,4,1,オリックス,2025,31
麦谷　祐介,79,153,134,23,31,4,2,1,42,10,12,6,16,1,39,0,0.231,0.316,0.313,1,1,オリックス,2025,24
元　謙太,31,10,7,6,1,0,0,0,1,0,0,0,2,0,3,0,0.143,0.333,0.143,1,0,オリックス,2025,24
杉澤　龍,14,16,15,0,3,1,0,0,4,2,0,1,0,0,4,0,0.2,0.2,0.267,1,0,オリックス,2025,26
オリバレス,11,35,33,1,6,1,0,0,7,0,1,0,2,0,8,0,0.182,0.229,0.212,0,0,オリックス,2025,30
来田　涼斗,50,135,124,14,29,5,0,2,40,5,5,0,7,1,38,1,0.234,0.278,0.323,2,1,オリックス,2025,24
茶野　篤政,3,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0.167,0.167,0.167,0,0,オリックス,2025,27
福田　周平,23,64,54,2,9,1,0,0,10,3,1,0,4,0,9,2,0.167,0.224,0.185,6,0,オリックス,2025,34
杉本　裕太郎,119,455,401,48,104,15,2,16,171,53,1,0,38,9,123,8,0.259,0.332,0.426,0,7,オリックス,2025,35
古賀　悠斗,112,328,289,26,66,8,0,7,95,21,1,1,32,0,62,9,0.228,0.305,0.329,7,0,埼玉西武,2025,27
